uni_codigo;uni_nombre;prv_descri;can_descri;parr_descr;zon_cod;dis_cod;tipologia_;tipo_entid;sexo;edad_0;edad_1;edad_2;edad_3;edad_4;edad_5;edad_6;edad_7;edad_8;edad_9;edad_10;edad_11;edad_12;edad_13;edad_14;edad_15;edad_16;edad_17;edad_18;edad_19;edad_20;edad_21;edad_22;edad_23;edad_24;edad_25;edad_26;edad_27;edad_28;edad_29;edad_30;edad_31;edad_32;edad_33;edad_34;edad_35;edad_36;edad_37;edad_38;edad_39;edad_40;edad_41;edad_42;edad_43;edad_44;edad_45;edad_46;edad_47;edad_48;edad_49;edad_50;edad_51;edad_52;edad_53;edad_54;edad_55;edad_56;edad_57;edad_58;edad_59;edad_60;edad_61;edad_62;edad_63;edad_64;edad_65;edad_66;edad_67;edad_68;edad_69;edad_70;edad_71;edad_72;edad_73;edad_74;edad_75;edad_76;edad_77;edad_78;edad_79;edad_80;edad_81;edad_82;edad_83;edad_84;edad_85;edad_86;edad_87;edad_88;edad_89;edad_90;edad_91;edad_92;edad_93;edad_94;edad_95;edad_96;edad_97;edad_98;edad_99;edad_100;poblacion;embarazadas;ano_poblacion;latitud
000546;CHACRAS;EL ORO;ARENILLAS;CHACRAS;Z07;07D05;CENTRO DE SALUD A;CS-A;Hombre;15;15;15;16;16;16;17;17;18;18;18;18;19;19;18;18;18;18;18;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;16;16;16;15;15;15;15;14;14;13;13;13;12;12;12;11;11;11;11;10;10;10;10;9;9;8;8;8;7;7;6;6;6;5;5;5;4;4;4;4;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1030;0;2026;-3.551355,-80.200642
000546;CHACRAS;EL ORO;ARENILLAS;CHACRAS;Z07;07D05;CENTRO DE SALUD A;CS-A;Mujer;14;14;15;15;15;16;16;16;17;17;17;17;17;17;17;17;16;16;16;16;16;16;16;16;16;16;17;17;17;17;17;17;17;17;16;16;16;15;15;15;15;15;14;14;14;14;13;13;13;13;13;12;12;12;12;12;11;11;10;10;10;9;9;8;8;7;7;7;6;6;6;5;5;5;4;4;4;4;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1041;29;2026;-3.551355,-80.200642
000547;PALMALES;EL ORO;ARENILLAS;PALMALES;Z07;07D05;CENTRO DE SALUD A;CS-A;Hombre;23;23;24;24;25;25;26;27;27;28;28;28;29;29;28;28;28;27;27;27;27;27;27;27;27;27;26;26;26;26;26;26;26;26;25;25;25;24;24;23;23;23;22;21;21;20;19;19;18;18;17;17;17;16;16;16;15;15;14;14;13;12;12;11;10;10;9;9;8;8;7;7;6;6;5;5;5;4;4;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1;0;0;0;0;0;0;0;1589;0;2026;-3.666345,-80.100404
000547;PALMALES;EL ORO;ARENILLAS;PALMALES;Z07;07D05;CENTRO DE SALUD A;CS-A;Mujer;22;22;23;23;24;24;25;25;26;26;26;27;27;27;26;26;25;25;25;25;25;25;25;25;25;25;25;26;26;26;26;26;26;25;25;25;24;23;23;23;23;22;22;22;21;21;21;20;20;20;19;19;19;18;18;18;17;17;16;15;15;14;13;13;12;11;11;10;10;9;9;8;8;7;7;6;6;6;5;4;4;4;3;3;3;2;2;2;2;2;1;1;1;1;1;1;0;0;0;0;1;1605;40;2026;-3.666345,-80.100404
000548;MANABI DE EL ORO;EL ORO;ARENILLAS;PALMALES;Z07;07D05;PUESTO DE SALUD;PS;Hombre;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;0;2026;-3.729579,-80.126226
000548;MANABI DE EL ORO;EL ORO;ARENILLAS;PALMALES;Z07;07D05;PUESTO DE SALUD;PS;Mujer;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128;3;2026;-3.729579,-80.126226
000549;EL PARAISO;EL ORO;LAS LAJAS;EL PARAISO;Z07;07D05;PUESTO DE SALUD;PS;Hombre;7;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7;7;7;7;7;7;7;7;7;6;6;6;6;6;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;462;0;2026;-3.776542,-80.028551
000549;EL PARAISO;EL ORO;LAS LAJAS;EL PARAISO;Z07;07D05;PUESTO DE SALUD;PS;Mujer;6;6;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;443;10;2026;-3.776542,-80.028551
000550;LA LIBERTAD;EL ORO;LAS LAJAS;LA LIBERTAD;Z07;07D05;PUESTO DE SALUD;PS;Hombre;7;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7;7;7;7;7;7;7;7;6;6;6;6;6;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;464;0;2026;-3.851703,-80.105474
000550;LA LIBERTAD;EL ORO;LAS LAJAS;LA LIBERTAD;Z07;07D05;PUESTO DE SALUD;PS;Mujer;6;6;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;445;9;2026;-3.851703,-80.105474
